name,x,y
aarbergergasse,1199881.3447083835,2600182.905504085
aarbühlstrasse,1197826.9851584923,2600651.209064282
aargauerstalden,1199926.432350831,2601601.584797103
aarhaldenstrasse,1197900.8371136012,2600609.2002623044
aarstrasse,1199292.0649382523,2600513.268508575
abendstrasse,1199330.9181636954,2596127.0630457914
aberlistrasse,1199366.5674059673,2602992.439593436
aebistrasse,1200219.6981328314,2599107.989035937
aegertenstrasse,1198649.2570106245,2600682.2238886007
aehrenweg,1199847.1768657474,2596871.647247971
alemannenstrasse,1199076.640888398,2596674.587262126
alexandraweg,1198164.2217802573,2602631.123786171
alleeweg,1198794.158798418,2602625.834815183
allmendstrasse,1200955.1373929742,2600980.868853281
alpeneggstrasse,1200223.9461035565,2599972.89242642
alpenstrasse,1199052.2253394693,2601397.581436396
altenbergrain,1200169.8778047531,2600570.585592102
altenbergstrasse,1199939.6920033917,2601127.3629132146
alter aargauerstalden,1199971.1436453743,2601715.3964489377
amietstrasse,1198996.6103027498,2602755.3418918783
amthausgasse,1199576.1830480413,2600543.7589141605
anemonenweg,1199952.310956538,2596284.245332362
ankerstrasse,1199182.0952595505,2602137.9427726
anshelmstrasse,1198662.0668098985,2600772.729308918
archivstrasse,1198916.529174666,2600676.82885747
armandweg,1198574.6650175466,2599299.4264930594
asterweg,1202205.735135388,2600449.875813612
asylweg,1199647.4845360357,2595746.2776924027
attinghausenstrasse,1201115.681728272,2601354.4883778477
badgasse,1199474.1806749029,2600999.701570951
bahnhofplatz,1199714.536220252,2600115.4328483073
bahnhöheweg,1198766.2626362413,2596992.857657811
bahnstrasse,1199557.7209023822,2598039.2730576238
balderstrasse,1199146.368694582,2598899.618902107
balmerstrasse,1199572.092942694,2602849.0034080474
balmweg,1198527.6478455993,2599422.899483008
balthasarstrasse,1199962.275560678,2596429.383204543
baltzerstrasse,1200066.5858918824,2599230.9094878426
bantigerstrasse,1199623.5356423925,2601837.962475724
bantigerweg,1199777.554683998,2602103.9268549113
baumgartenstrasse,1198908.93031394,2596697.99019392
beatusstrasse,1198852.5638574306,2601765.5414291616
beaulieurain,1200803.2211455142,2599531.0763550187
beaulieustrasse,1200913.37935545,2599567.0004817294
beaumontweg,1198609.4325921068,2599354.9784851633
belpstrasse,1199300.9820356916,2599560.255170097
benteliweg,1198925.7074207396,2597080.3504924607
berchtoldstrasse,1200651.4257409975,2599768.321411391
bernastrasse,1198831.3119540869,2600782.0092383637
bernstrasse,1198962.0195483994,2596758.151175207
bethlehemstrasse,1199368.621356036,2596936.5111980154
beundenfeldstrasse,1200670.6842854368,2601270.7948455475
beyelerweg,1199900.9992366077,2602313.816772238
bibliotheksgässchen,1199577.027929623,2600801.794953865
biderstrasse,1200717.4380562713,2603070.4181171944
bienenstrasse,1199260.3195047805,2597236.1563482494
bierhübeliweg,1200483.066769996,2599965.0995973535
billeweg,1199495.3087481612,2595407.9314204548
bim zytglogge,1199660.146678047,2600698.637467351
birkenweg,1200962.345150567,2600825.3150368133
bitziusstrasse,1199912.9982969481,2602216.591733214
blockweg,1198912.2344622132,2599137.748391501
blumenbergstrasse,1200382.9092133758,2601269.0735583943
blumensteinstrasse,1200487.4690427657,2599064.4216058166
blumenweg,1200749.0074689048,2600541.3598879576
boehlenstrasse,1201633.787537925,2602018.087175163
bogenschützenstrasse,1199622.9317374132,2599965.9098145682
bolligenstrasse,1200769.287621063,2602425.4420625665
bollwerk,1199954.7587065569,2600164.984955695
bonstettenstrasse,1200785.0764544117,2599925.6993794804
bornweg,1198979.9666333643,2602000.642232606
bottigenstrasse,1198616.3982942747,2594040.256388541
bovetstrasse,1198872.3763921596,2599670.340493082
brechbühlerstrasse,1200055.685628592,2602254.1298265504
breitenrainplatz,1200841.443154638,2601217.112024396
breitenrainstrasse,1200694.0390874853,2600879.708099776
breiteweg,1200548.0762417049,2603001.0232961
breitfeldstrasse,1201032.4588746715,2601485.5210274775
bremgartenstrasse,1200463.8945316926,2598829.710178863
bridelstrasse,1198742.1164405872,2598654.672916419
brunnadernrain,1198268.154014218,2601771.33524412
brunnadernstrasse,1198606.9804678853,2601938.4509552936
brunngasse,1199748.60996437,2600822.5020060497
brunngasshalde,1199777.8602624875,2600890.2613927172
brunnhofweg,1199136.6604124778,2599223.93063647
brunnmattstrasse,1199075.7812150684,2598978.9651244828
brückenstrasse,1199158.3221229503,2600302.3461028636
brückfeldstrasse,1200512.5207849876,2599829.477405983
brüggbodenstrasse,1202119.4528373864,2598725.3884831024
brügglerweg,1199689.02226806,2601771.21570301
brünigweg,1198434.36951234,2598817.83506187
brünnackerstrasse,1198643.169088465,2595851.436872573
brünnen,1199597.968084795,2595323.127150908
brünnenstrasse,1199142.8116207158,2596064.662985625
bubenbergplatz,1199614.219126994,2600041.2073747064
buchdruckerweg,1199019.356360031,2596482.511207372
buchenweg,1200482.277711561,2598945.810891447
buchserstrasse,1199133.545214849,2602584.1006401386
buchweg,1198956.8698846844,2593305.3705862793
bundesbahnweg,1198520.043480616,2598714.798054912
bundesgasse,1199460.6832257744,2600096.8380517014
bundesplatz,1199534.13614153,2600376.8608697713
bundesrain,1199328.9832246182,2600338.9551145113
burckhardtstrasse,1199069.959088959,2598231.890240176
burgdorfholzstrasse,1200641.1136165597,2602943.226652107
burgernzielrain,1198978.5125130783,2602334.12211533
burgernzielweg,1199010.5252737182,2602301.992901615
burgfeldweg,1200569.0464519924,2602929.361732345
burgunderstrasse,1198791.596749578,2596853.2789975265
buristrasse,1199281.4745846936,2602776.6398129687
bäckereiweg,1200562.4916952539,2599348.5025633103
böcklinstrasse,1199033.374765584,2601940.2280452647
bühlplatz,1200113.094975322,2599424.9635493727
bühlstrasse,1200000.77965521,2599345.873006522
bümplizstrasse,1199177.1802935493,2596570.783701084
bürenstrasse,1198533.4476631705,2600109.8885204108
bürglenstrasse,1199445.5161573759,2602388.187925714
bürkiweg,1198702.168507678,2599404.82861634
carl-lutz-weg,1199549.9925841186,2602921.5224997727
casinoplatz,1199489.5439404636,2600729.9998503104
cedernstrasse,1198939.5084814678,2596161.883997272
centralweg,1200684.094511127,2600550.655021249
chaletweg,1199741.8348914334,2596734.5392724546
chavezstrasse,1200670.6547055626,2603008.576714649
choisystrasse,1199541.5640623285,2599181.693623424
christoffelgasse,1199564.2638918133,2600123.028022353
chutzenstrasse,1198281.5727959732,2599451.382069223
colombstrasse,1199526.1508886663,2595325.9657692416
cyrostrasse,1198050.8701136834,2602577.4874539995
cäcilienplatz,1198991.632441194,2598994.991014412
cäcilienrain,1198873.1614946695,2599186.326980056
cäcilienstrasse,1198843.8076509929,2599165.3638855335
dahliaweg,1202379.079589368,2600589.035188507
dalmazibrücke,1199279.2675240724,2600518.4156768983
dalmaziquai,1198789.040470541,2600558.176706112
dalmazirain,1198857.4168533091,2600580.7295489195
dammweg,1200749.5430239537,2600603.4454431124
dapplesweg,1198491.8470424535,2599612.33321248
daxelhoferstrasse,1200887.5913984631,2599947.530703702
denzlerstrasse,1198591.9090803037,2600770.547245081
depotstrasse,1199993.6803691725,2599112.1977071417
diesbachstrasse,1200932.9664131647,2599918.977553584
dietlerstrasse,1198704.6325109112,2598680.7988208355
distelweg,1200265.7011163821,2598939.0559072425
dittlingerweg,1198728.3382767942,2600734.796046615
donnerbühlweg,1200004.042716528,2599570.5590678924
dorngasse,1198334.6874429563,2600137.0803748867
drosselweg,1200326.8279049867,2598977.718002512
dufourstrasse,1199022.6041722754,2601203.462715606
dunantstrasse,1198293.77479943,2602877.5428123344
dunkerstrasse,1199229.1181889088,2603087.9372492996
dählhölzliweg,1198948.1450950801,2601300.7624953804
dändlikerrain,1201581.1781098824,2600715.4013903067
dändlikerweg,1201549.036855288,2600750.750610993
dübystrasse,1198456.4104086175,2598807.7567257537
effingerstrasse,1199408.7879129117,2599428.346518747
egelbergstrasse,1199433.0607873227,2602054.435773798
egelgasse,1199237.9332566669,2602265.191822417
egghölzlistrasse,1198274.709132596,2602602.196227367
eggimannstrasse,1199411.9131795608,2597867.3328090804
eichholzstrasse,1200424.4662951552,2596018.3607588033
eichmattweg,1198847.2817758236,2599360.60009012
eigerplatz,1198905.6527857298,2599410.5414545084
eigerstrasse,1198780.2330359952,2599816.465182589
einsteinstrasse,1198509.0296079027,2600621.818961948
elfenauweg,1198525.8291661893,2602181.2202032884
elfenstrasse,1198679.7163844227,2601779.540521643
elisabethenstrasse,1201059.7983101953,2601013.4964181413
engehaldenstrasse,1200846.8610005595,2600192.20824391
engerain,1201912.778701012,2600472.8141321605
engeriedweg,1201058.5329740185,2599748.352726601
engestrasse,1200935.3922019512,2600032.613828616
englische anlagen,1199217.7672278115,2601061.5539610633
ensingerstrasse,1199040.045705974,2601736.808871668
erikaweg,1199560.9593824458,2601990.025677427
erlachstrasse,1200084.0503147908,2599513.6822391017
erlenweg,1199076.808905703,2600279.422762048
eschenweg,1200399.5137538332,2599044.593663874
eymattstrasse,1200692.2241044207,2596137.910159654
fabrikstrasse,1200338.291422416,2598925.907039448
falkenhöheweg,1199953.9249958466,2599674.160115418
falkenplatz,1199986.7014979755,2599773.7230771193
falkenweg,1200077.5749767967,2599821.7360538496
federweg,1199417.909072632,2598423.396798233
feldeggweg,1199234.8217525883,2600651.355179366
fellenbergstrasse,1200245.8308817518,2599417.1011650567
fellerstrasse,1199532.112053731,2596059.228175762
felsenaustrasse,1202141.165048657,2600214.5078308536
felsenauviadukt,1201940.0850509144,2600802.014221489
felshaldenweg,1202577.7648505669,2600203.851063896
fichtenweg,1200442.2246627382,2599055.460581232
finkenhubelweg,1199822.14584554,2599346.5771173295
finkenrain,1200009.8551619493,2599394.8366515287
fischermättelistrasse,1198907.8802250845,2598110.1642802567
fischerweg,1200451.2372357429,2599922.0681333835
fliederweg,1199226.7909143993,2599281.343025562
florastrasse,1199078.4988370005,2601208.1402129442
fluhweg,1202124.1209308482,2600125.1830871473
flurstrasse,1201144.4627030871,2600946.3832429596
forrerstrasse,1198174.534862116,2602021.753245201
forsthausweg,1198807.708509064,2598271.3733302853
forstweg,1200485.7008852542,2598899.8667241293
frankenstrasse,1198807.807324668,2596715.737584305
freiburgstrasse,1199138.9965501553,2597840.9080502028
freieckweg,1198675.8831440273,2596106.798750289
freiestrasse,1200247.2029596204,2599226.989767395
friedbühlstrasse,1199448.4841357614,2598631.164723171
friedeckweg,1198916.959729455,2599690.9389529084
friedensstrasse,1198972.9930476886,2598808.48488716
friedheimweg,1198377.1926686056,2599957.240258847
friedlistrasse,1199769.4250186787,2602059.3745044866
frikartweg,1198177.5321347918,2602277.532149785
frohbergweg,1200436.3596195485,2599809.519338578
fröschmattstrasse,1198808.7048038105,2595816.7260931428
funkerstrasse,1200365.5942060694,2601569.024688745
fährstrasse,1202497.866588652,2600251.9433715325
galgenfeldweg,1200339.803806625,2602514.5419222787
gantrischstrasse,1199271.7835139737,2602356.3367376486
garbenweg,1199888.6579457955,2596840.4653366525
gartenstrasse,1199346.5398576837,2599220.013390003
gasstrasse,1199340.6852276248,2600448.613177167
genfergasse,1199902.3261273894,2600237.385304498
genossenweg,1200358.2849527646,2599196.41770683
gerberngasse,1199640.7239978125,2601414.0590126812
gerechtigkeitsgasse,1199694.4531961442,2601176.713009345
gertrud-kurz-weg,1199545.645746789,2602851.044234193
gesellschaftsstrasse,1200320.6054269853,2599651.7469550706
gewerbestrasse,1200331.786376829,2599178.337188222
giacomettistrasse,1199433.072949269,2602662.799583797
giessereiweg,1198941.7336588562,2599841.801348708
ginsterweg,1198836.5939499305,2602708.552737487
glockenstrasse,1198773.3885191602,2596440.761772408
gotenstrasse,1199163.9848741726,2596857.6418099813
gotthardweg,1198394.6648912393,2598887.689089236
gotthelfstrasse,1200316.1906092833,2601066.8735009274
goumoënsstrasse,1198135.0514204828,2599411.7195681413
grabenpromenade,1199770.783948575,2600721.3720877133
graffenriedweg,1198545.7869241827,2599432.511196974
granatweg,1202390.781131205,2600526.4081704593
greyerzstrasse,1200579.7681617674,2600779.7343214448
grimselstrasse,1201441.1877632313,2600705.505117696
grossackerstrasse,1198793.2312556559,2595762.1089336914
grosser muristalden,1199525.267438357,2601518.324209031
gruberstrasse,1198813.4839200326,2602385.1186944693
gryphenhübeliweg,1199190.857422076,2601376.6423057
grüneckweg,1199238.2709052882,2601473.573047912
grünerweg,1200535.303834679,2600387.566221775
gsellstrasse,1200620.4587625894,2603042.2923607645
guisanplatz,1200861.727209623,2601983.2368927277
gurnigelweg,1199351.4133295917,2602389.564755817
gutenbergstrasse,1199201.4420161834,2599688.7219237946
gäbelbachstrasse,1199754.533276644,2595487.7418443216
gäbelbachweg,1199886.1465619616,2595269.6412716694
güterstrasse,1199550.6196542932,2598394.8698144164
habsburgerstrasse,1199031.4537174113,2601493.2186805694
hagröseliweg,1199944.19167872,2596174.3067922443
haldenstrasse,1201622.9419889746,2600657.968784562
halenstrasse,1201326.742877046,2598550.838811513
hallerstrasse,1200260.3440998509,2599839.038875695
hallmattstrasse,1197889.088969788,2595939.190312883
hallwylstrasse,1198911.8809363835,2600967.3074780335
hardeggerstrasse,1198479.320889555,2598356.785331563
haslerstrasse,1199333.138812634,2599448.9731115475
haspelgasse,1199773.7157763175,2601873.414232971
haspelweg,1199872.9294573478,2602060.6121668625
hausmattweg,1198191.0016166246,2593260.0471315184
heckenweg,1197972.8881022066,2599509.4026776156
heimstrasse,1198948.4320735733,2595984.5139552816
helvetiaplatz,1199231.1423414703,2600769.831169016
helvetiastrasse,1198850.1251393796,2600940.799508815
herrengasse,1199556.0119028527,2600802.201641071
herzogstrasse,1200796.75709666,2601291.7505570077
hesseweg,1199656.7157447105,2602815.2317132163
hildanusstrasse,1200471.589935807,2601382.1697064806
hilfikerstrasse,1201938.2825617124,2601895.5021718284
hiltystrasse,1198211.1040761631,2602739.9639454656
hintere engehaldenstrasse,1202149.893353313,2600585.3752497034
hirschengraben,1199469.1097531451,2599932.717103953
hochbühlweg,1199871.9694300254,2599275.3086299626
hochfeldstrasse,1200721.4379535483,2599442.97987554
hochschulstrasse,1199828.272824151,2599795.825198168
hodlerstrasse,1200004.6913889586,2600331.0800287994
hoffstrasse,1201804.1465166893,2601800.3887057076
hofmeisterstrasse,1198409.0836721715,2602447.3205740545
hofweg,1200684.2184398237,2600550.3006714266
hohgantweg,1200323.0254608179,2599175.702758018
holenackerstrasse,1199836.456880458,2595602.033654863
holligenstrasse,1198807.4340141984,2598326.9724935936
holzikofenweg,1198413.7997833844,2599748.7944192067
holzweg,1198066.0121319592,2593353.221903068
hopfenrain,1198838.530917615,2599297.788160599
hopfenweg,1198882.1684583996,2599244.830318039
hostettlerweg,1199956.9570087087,2602276.41559752
hotelgasse,1199587.247834004,2600721.117989845
hubelmattstrasse,1198990.678872366,2598758.1163830594
huberstrasse,1199180.9223252798,2598275.5317592877
humboldtstrasse,1200233.0199710631,2601126.194543888
höheweg,1199479.356014203,2601697.711063619
hüsliackerstrasse,1197903.845318628,2595742.446725411
indermühleweg,1199165.0582868177,2596533.3207735065
industrieweg,1200618.6125525273,2602876.4800433894
inselgasse,1199552.6717467348,2600546.919318113
jaunweg,1201855.7451437481,2600803.98371683
jennerweg,1199472.5833743992,2599014.9314128896
jolimontstrasse,1198962.0746125071,2602460.1173818833
jubiläumsplatz,1198734.8743661074,2601117.2239168226
jubiläumsstrasse,1198432.724114306,2600743.0503438567
jungfraustrasse,1199071.3123908213,2601308.9661708446
junkerngasse,1199646.598491779,2601194.403260334
jupiterstrasse,1198560.3402035802,2603168.454682657
jurastrasse,1200883.6166959156,2600395.471140358
justingerweg,1198917.394799149,2601346.363477821
jägerweg,1200783.3794010214,2600958.048759659
jöggiackerstrasse,1198127.9646496512,2596127.8240502477
kalcheggweg,1198647.2476467441,2601916.6930999556
kanonenweg,1199815.231007507,2599730.0884477347
kapellenstrasse,1199290.8140007474,2599754.865924872
kasernenstrasse,1200607.1259778393,2601432.553090226
kasparstrasse,1200148.8311495385,2596344.7815560787
kastellweg,1202481.5898595112,2600882.215678184
kasthoferstrasse,1198935.7804704998,2602383.692338483
kehrgasse,1199262.747569944,2597135.4095334057
keltenstrasse,1199215.29703802,2596750.5048831985
keplerstrasse,1200300.0117541663,2600930.3205695823
kirchackerweg,1198945.0364868734,2597118.145748349
kirchbergerstrasse,1198647.5608145816,2598664.9303184766
kirchbühlweg,1199025.4132106486,2598851.420495055
kirchenfeldbrücke,1199379.2390430835,2600760.227384611
kirchenfeldstrasse,1198791.5562764893,2601012.0157026923
kistlerweg,1198200.3864601175,2602078.369446322
klaraweg,1199549.7614551943,2601753.224994807
klawastrasse,1201632.09892985,2601948.8710909868
kleefeldstrasse,1198603.6928770924,2595995.1749740476
kleine westtangente,1199836.0827574078,2599885.5348443366
kleiner muristalden,1199317.2186502006,2601749.5737751327
klösterlistutz,1199810.5588025576,2601556.9328346997
knospenweg,1199900.8615412437,2596253.1219033552
kochergasse,1199526.314725791,2600595.7124996735
kollerweg,1199294.3765007337,2601350.2231772766
konradweg,1200584.7996761636,2599374.171425013
konsumstrasse,1199216.0191191076,2598984.7544625383
kornhausbrücke,1199976.3667336246,2600759.638229477
kornhausplatz,1199875.0824551038,2600726.7002951577
kornhausstrasse,1200197.3705605674,2600835.926033436
kornweg,1199875.0175818803,2596315.908012861
kramburgstrasse,1199085.957330083,2601652.6838264237
kramgasse,1199654.4820996262,2600881.6568374615
kreuzgasse,1199660.7788010496,2601041.3760704678
krippenstrasse,1199321.2329413467,2597871.954213231
kuhnweg,1199886.9283504477,2602177.8010164304
kursaalstrasse,1200374.60734052,2600775.8888545125
kyburgstrasse,1200609.11585823,2600755.8931857985
könizstrasse,1198830.735594355,2598460.6448199935
lagerhausweg,1198381.6625869602,2596542.6626049695
lagerweg,1200618.728563028,2600558.421110979
landhausweg,1198327.6147942746,2599542.7339933068
landoltstrasse,1198112.2935344332,2600288.2547710845
langmauerweg,1199850.2888988894,2600962.360525851
langobardenstrasse,1199360.9959289497,2597010.0352190402
laubeggstrasse,1199672.8384491522,2602102.244528974
laupenstrasse,1199582.5989443536,2599731.8336215285
le-corbusier-platz,1199526.0340251732,2595264.3896018323
lederstutz,1202061.8271550653,2600371.823561238
lentulusrain,1198805.970005149,2599188.31782669
lentulusstrasse,1198776.1611682454,2599098.3168645236
lenzweg,1198813.7636462818,2598821.5510694906
lerberstrasse,1200002.0970134358,2601468.226642387
lerchenweg,1200277.2115383858,2599366.834096981
libellenweg,1200434.2520234864,2602550.4293233366
liebeggweg,1199358.6212961716,2601617.0970153897
lilienweg,1199237.4862796594,2599227.053260214
lindenrain,1199756.57737677,2599267.397348174
lombachweg,1198627.4677781821,2602121.24280221
looslistrasse,1199589.2563711829,2596835.86162782
lorbeerstrasse,1199117.6023644018,2596227.2082097167
lorrainebrücke,1200187.6012312532,2600340.650220069
lorrainestrasse,1200689.24250018,2600471.9837416555
lorystrasse,1199334.7627441464,2598504.1148300404
luisenstrasse,1199041.2642344695,2601077.369025712
luternauweg,1198270.8572930354,2602203.0773941665
ländteweg,1199203.886734108,2600405.620270099
länggassstrasse,1200363.7215525082,2599348.7708567376
läuferplatz,1199832.8263840633,2601237.3475087183
löchligutweg,1202254.6551651217,2602322.6069592745
löchliweg,1202366.0635693078,2602197.4102055025
lötschbergweg,1198349.2398235397,2598905.894465956
maiglöggliweg,1199909.060103395,2596180.692816222
malerweg,1200083.747103021,2599886.612245673
mani-matter-stutz,1199738.2335838326,2601023.19664047
mannenriedstrasse,1198895.1068934717,2591464.097485535
manuelstrasse,1198236.527138044,2602347.2615301483
marienstrasse,1199195.8759383522,2600985.6137943044
martiweg,1198489.9641365705,2598765.6205425384
marzilistrasse,1199053.713109426,2600334.519171852
mattenenge,1199742.6638824046,2601462.457917017
mattenhofstrasse,1199144.5869446674,2599333.752496658
matterstrasse,1198260.1017273464,2602431.5281412997
matzenriedstrasse,1198141.4031199377,2593379.976625572
mauerrain,1199793.032289805,2599727.6251975726
maulbeerstrasse,1199481.1797480877,2599832.4156009806
max-daetwyler-platz,1201707.2628768827,2601942.71359945
mayweg,1198667.6831516977,2599601.583673873
meisenweg,1201003.8023416114,2600905.9830729123
